Gender,Married,Time,Dependents,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area
Male,No,4:20 AM,0,Graduate,No,4950,0,125,360,1,Urban
Male,Yes,4:21 AM,1,Graduate,No,2882,1843,123,480,1,Semiurban
Male,Yes,3:20 AM,0,Graduate,No,3000,3416,56,180,1,Semiurban
Male,Yes,4:20 AM,2,Graduate,No,9703,0,112,360,1,Urban
Male,Yes,5:20 AM,0,,No,,2417,136,360,1,Urban
Male,Yes,6:20 AM,3,Graduate,No,5250,0,94,360,1,Urban
Male,Yes,7:20 AM,0,Graduate,No,4333,2451,110,360,1,Urban
Male,Yes,8:20 AM,2,Not Graduate,No,6125,1625,187,480,1,Semiurban
Male,No,9:20 AM,0,Not Graduate,No,2333,1451,102,,0,Urban
Male,Yes,10:20 AM,0,Not Graduate,No,1800,2934,93,,0,Urban
Male,Yes,11:20 AM,0,Graduate,No,3500,1667,114,,1,Semiurban
Male,Yes,12:20 PM,2,Graduate,No,8333,3167,165,360,1,Rural
Male,No,13:20 PM,2,Graduate,No,4354,0,136,360,1,Rural
Male,Yes,14:20 PM,0,Graduate,No,9328,0,188,180,1,Rural
Female,No,16:20 PM,0,Graduate,No,7200,0,120,360,1,Rural
Male,Yes,4:20 PM,2,Graduate,No,3800,3600,216,360,0,Urban
Male,Yes,17:20 PM,0,Graduate,No,3593,4266,132,180,0,Rural
Male,Yes,18:20 PM,1,Graduate,No,3417,,186,360,1,Urban
Male,Yes,17:20 PM,2,Graduate,Yes,3316,3500,88,360,1,Urban
Male,Yes,15:20 PM,1,Not Graduate,No,3399,1640,111,180,1,Urban
Male,Yes,20:20 PM,0,Graduate,No,2439,3333,129,360,1,Rural
Male,Yes,22:20 PM,2,Graduate,No,6250,5654,188,180,1,Semiurban
Male,Yes,20:20 PM,1,Graduate,Yes,1000,3022,110,360,1,Urban
Female,Yes,23:20 PM,0,Graduate,No,4180,2306,182,360,1,Semiurban
